# expect	pattern (escaped like the others): every language must refuse or accept it alike
refused	(?=a)
refused	(?<!a)b
refused	(a)\u005c1
refused	(?<name>a)
refused	(?P<name>a)
refused	(?i)a
refused	a$
refused	\u005cp{L}
refused	a++
refused	a{2}+
refused	a{,3}
refused	x{
refused	[[a]]
refused	[a&&b]
refused	[a--b]
refused	[a~~b]
refused	[]a]
refused	\u005cx41
refused	\u005cAa
refused	\u005cv
refused	\u005cQ.\u005cE
refused	caf\u00e9
refused	[\u005cb]
refused	a{1001}
refused	a{2,5000}
refused	[abc
refused	a\u005c
accepted	\u005cbcolou?r\u005cb
accepted	a{2,3}
accepted	a{2}
accepted	a{1000}
accepted	[a-z\u005c]]
accepted	\u005c(\u005c?=
accepted	(?:ab)+?
accepted	\u005cd+\u005c.\u005cd*
accepted	[^.!?]{0,30}
accepted	\u005c$5
accepted	^\u005cs*note\u005cb
